Location,Population,% of world,Date,Source (official or from the United Nations),Notes,source_page,table_number,Country/Territory Country/Territory,IMF[1][6] Forecast,IMF[1][6] Year,World Bank[7] Estimate,World Bank[7] Year,United Nations[8] Estimate,United Nations[8] Year,Country Country,Youth (15 to 24) Rate,Youth (15 to 24) Year,Adult (25+) Rate,Adult (25+) Year,Elderly (65+) Rate,Elderly (65+) Year,Youth Gender Parity Index Rate,Youth Gender Parity Index Year,Literacy rate[12][13] [text–source integrity?] Total,Literacy rate[12][13] [text–source integrity?] Male,Literacy rate[12][13] [text–source integrity?] Female,Literacy rate[12][13] [text–source integrity?] Gender gap,Literacy rate[12][13] [text–source integrity?] Year,Territory,Literacy rate (all),Male literacy,Female literacy,Gender difference[a],Year,Note
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Cyprus *,99.8,2011,98.7,2011.0,93.8,2011.0,1.0,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Czech Republic *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Denmark *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Djibouti *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Dominica *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Dominican Republic *,98.8,2016,93.8,2016.0,79.8,2016.0,1.0,2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Ecuador *,99.1,2016,94.4,2016.0,77.7,2016.0,1.0,2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Egypt *,93.9,2017,71.2,2017.0,43.2,2013.0,1.0,2017.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,El Salvador *,98.0,2016,88.5,2017.0,65.7,2016.0,1.0,2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Equatorial Guinea *,98.2,2014,95.0,2014.0,67.2,2014.0,1.0,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Eritrea *,87.0,2008,64.7,2008.0,20.9,2008.0,0.9,2008.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Estonia *,99.9,2011,99.9,2011.0,99.7,2011.0,1.0,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Eswatini *,93.5,2010,83.1,2010.0,45.2,2010.0,1.0,2010.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Ethiopia *,55.0,2007,39.0,2007.0,13.6,2007.0,0.7,2007.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Faroe Islands *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Falkland Islands *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Fiji *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Finland *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,France *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,French Guiana *,91.3,1982,82.9,1982.0,69.7,1982.0,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,French Polynesia *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Gabon *,88.5,2012,82.3,2012.0,60.6,2012.0,1.0,2012.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Gambia *,60.8,2013,42.0,2013.0,10.4,2013.0,0.9,2013.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Georgia *,99.7,2014,99.6,2014.0,99.1,2014.0,1.0,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Germany *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Ghana *,85.7,2010,71.5,2010.0,34.9,2010.0,0.9,2010.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Gibraltar *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Greece *,98.8,2011,97.4,2011.0,92.5,2011.0,1.0,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Greenland *[8],100.0,2015,,,,,1.0,2015.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Grenada *,99.2,2014,98.6,2014.0,96.2,2014.0,1.0,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Guadeloupe *,99.8,2014,96.0,2014.0,82.9,2014.0,1.0,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Guam *,99.9,1990,99.4,1990.0,95.9,1990.0,1.0,1990.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Guatemala *,94.4,2014,81.3,2014.0,50.7,2014.0,1.0,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Guinea *,46.3,2014,32.0,2014.0,13.1,2014.0,0.7,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Guinea-Bissau *,60.4,2014,45.6,2014.0,19.5,2014.0,0.7,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Guyana *,96.7,2014,85.6,2014.0,49.9,2014.0,1.0,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Haiti *,72.3,2006,48.7,2006.0,8.5,2006.0,0.9,2006.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Holy See,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Honduras *,96.1,2016,89.0,2016.0,66.3,2016.0,1.0,2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Hungary *,98.8,2014,99.1,2014.0,99.1,2014.0,1.0,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Iceland *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,India *,95.7,2018,75.4,2018.0,45.4,2018.0,0.97,2018.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Indonesia *,99.7,2016,95.4,2016.0,70.1,2016.0,1.0,2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Iran *,98.1,2016,85.5,2016.0,36.8,2016.0,1.0,2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Iraq *,93.5,2017,85.6,2017.0,20.4,2013.0,0.9,2013.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Ireland *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Isle of Man *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Israel *,98.6,1983,91.8,1983.0,79.8,1983.0,1.0,1983.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Italy *,99.9,2011,98.8,2011.0,96.7,2011.0,1.0,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Jamaica *,96.3,2014,88.1,2014.0,66.6,2014.0,1.1,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Japan *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Jordan *,99.1,2012,97.9,2012.0,87.7,2012.0,1.0,2012.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Kazakhstan *,99.9,2010,99.8,2010.0,99.5,2010.0,1.0,2010.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Kenya *,86.5,2014,78.7,2014.0,54.0,2014.0,1.0,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Kiribati *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,North Korea *,100.0,2008,100.0,2008.0,100.0,2008.0,1.0,2008.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,South Korea *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Kuwait *,99.2,2017,96.1,2018.0,69.5,2015.0,1.0,2017.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Kyrgyzstan *,99.8,2009,99.2,2009.0,92.5,2009.0,1.0,2009.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Laos *,92.5,2015,84.7,2015.0,58.6,2015.0,1.0,2015.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Latvia *,99.8,2011,99.9,2011.0,99.9,2011.0,1.0,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Lebanon *,99.2,2009,91.2,2009.0,60.2,2009.0,1.0,2009.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Lesotho *,86.6,2014,76.6,2014.0,51.4,2014.0,1.2,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Liberia *,49.1,2007,42.9,2007.0,32.8,2007.0,0.6,2007.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Libya *,99.6,2004,86.1,2004.0,24.2,2004.0,1.0,2004.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Liechtenstein *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Lithuania *,99.9,2011,99.8,2011.0,99.8,2011.0,1.0,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Luxembourg *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Madagascar *,76.8,2012,71.6,2012.0,49.4,2012.0,1.0,2012.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Malawi *,72.9,2015,62.1,2015.0,35.1,2015.0,1.0,2015.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Malaysia *,98.2,2001,89.5,2001.0,47.1,2001.0,1.0,2001.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Maldives *,99.3,2014,98.6,2014.0,92.8,2014.0,1.0,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Mali *,49.4,2015,33.1,2015.0,13.6,2015.0,0.6,2015.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Malta *,98.9,2011,93.3,2011.0,85.8,2011.0,1.0,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Marshall Islands *,98.5,2011,98.3,2011.0,89.4,2011.0,1.0,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Martinique,99.8,2014,96.9,2014.0,88.1,2014.0,1.0,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Mauritania *,56.1,2007,45.5,2007.0,26.6,2007.0,0.7,2007.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Mauritius *,98.1,2011,93.2,2016.0,64.6,2011.0,1.0,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Mayotte,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Mexico *,99.1,2016,94.9,2016.0,78.9,2016.0,1.0,2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Micronesia *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Monaco *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Mongolia *,98.5,2010,98.3,2010.0,94.6,2010.0,1.0,2010.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Montenegro *,99.2,2011,98.4,2011.0,93.9,2011.0,1.0,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Montserrat *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Morocco *,97.7[9],2018,73.8[9],2018.0,34.1[9],2018.0,0.99[10],2018.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Mozambique *,70.5,2015,56.0,2015.0,26.0,2015.0,0.8,2015.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Myanmar *,84.8,2016,75.6,2016.0,58.2,2016.0,1.0,2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Namibia *,94.4,2011,88.3,2011.0,56.7,2011.0,1.0,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Nauru *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Nepal *,84.8,2011,68,2018.0,20.8,2011.0,0.9,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Netherlands *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,New Caledonia,99.2,2014,97.8,2014.0,90.6,2014.0,1.0,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,New Zealand *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Nicaragua *,87.0,2005,78.0,2005.0,49.2,2005.0,1.0,2005.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Niger *,39.8,2012,30.6,2012.0,13.7,2012.0,0.7,2012.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Nigeria *,66.4,2008,51.1,2008.0,21.6,2008.0,0.8,2008.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Niue *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,North Macedonia *,98.7,2002,96.1,2002.0,82.5,2002.0,1.0,2002.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Northern Mariana Islands *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Norway *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Oman *,98.7,2017,96.1,2017.0,41.9,2016.0,1.0,2017.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Pakistan *,74.5,2017,59.1,2017.0,27.1,2017.0,0.83,2017.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Palau *,98.7,2015,96.6,2015.0,84.7,2015.0,1.0,2015.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Palestine,99[11],2020,97[11],2019.0,63.9,2016.0,1.13[11],2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Panama *,97.6,2010,94.1,2010.0,80.9,2010.0,1.0,2010.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Papua New Guinea *,67.9,2010,61.6,2010.0,33.0,2010.0,1.1,2010.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Paraguay *,98.5,2016,94.7,2016.0,77.8,2016.0,1.0,2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Peru *,98.9,2016,94.1,2017.0,77.7,2016.0,1.0,2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Philippines *,98.1,2013,96.4,2013.0,90.1,2013.0,1.0,2013.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Pitcairn Islands,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Poland *,99.8,2008,98.7,2008.0,93.0,2008.0,1.0,2008.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Portugal *,99.4,2011,94.5,2011.0,80.5,2011.0,1.0,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Puerto Rico *,98.8,2010,92.4,2017.0,84.5,2010.0,1.0,2010.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Qatar *,95.9,2004,89.0,2004.0,41.0,2004.0,1.0,2004.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Moldova *,99.5,2012,99.1,2012.0,95.8,2012.0,1.0,2012.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Romania *,99.0,2011,98.6,2011.0,96.8,2011.0,1.0,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Russia *,99.7,2010,99.7,2010.0,99.2,2010.0,1.0,2010.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Rwanda *,85.1,2014,70.8,2014.0,24.3,2014.0,1.0,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Réunion,95.7,1982,78.6,1982.0,42.0,1982.0,1.0,1982.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Saint Helena *,,,96.0,1998.0,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Saint Kitts and Nevis *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Saint Lucia *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Saint Pierre and Miquelon,99.5,1982,99.3,1982.0,98.5,1982.0,1.0,1982.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Saint Martin,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Samoa *,99.2,2011,99.0,2011.0,96.3,2011.0,1.0,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,San Marino *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,São Tomé and Príncipe *,96.7,2012,90.1,2012.0,49.6,2012.0,1.0,2012.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Saudi Arabia *,99.2,2013,94.4,2013.0,51.4,2013.0,1.0,2013.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Senegal *,69.5,2017,51.9,2017.0,21.5,2013.0,0.8,2017.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Serbia *,99.7,2016,98.8,2016.0,96.6,2016.0,1.0,2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Seychelles,99.0,2010,94.0,2010.0,71.5,2010.0,1.0,2010.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Sierra Leone *,57.0,2013,32.4,2013.0,3.7,2013.0,0.8,2013.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Singapore *,99.9,2016,97.0,2016.0,84.0,2015.0,1.0,2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Sint Maarten,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Slovakia *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Slovenia *,99.8,2014,99.7,2014.0,99.3,2014.0,1.0,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Solomon Islands *,,,76.6,1999.0,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Somalia *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,South Africa *,99.0,2015,94.4,2015.0,72.1,2015.0,1.0,2015.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,South Sudan *,36.7,2008,26.8,2008.0,11.0,2008.0,0.7,2008.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Spain *,99.6,2016,98.3,2016.0,94.7,2016.0,1.0,2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Sri Lanka *,98.9,2017,91.9,2017.0,81.0,2016.0,1.0,2017.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Saint Vincent and the Grenadines *,98.0,1970,95.6,1970.0,91.0,1970.0,1.0,1970.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Sudan *,65.8,2008,53.5,2008.0,24.3,2008.0,0.9,2008.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Suriname *,97.7,2012,92.9,2012.0,76.0,2012.0,1.0,2012.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Svalbard and Jan Mayen,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Sweden *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Switzerland *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Syria *,92.5,2004,80.8,2004.0,39.0,2004.0,1.0,2004.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Tajikistan *,99.9,2014,99.8,2014.0,98.1,2014.0,1.0,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Tanzania *,85.8,2015,77.9,2015.0,43.5,2015.0,1.0,2015.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Thailand *,98.1,2015,92.9,2015.0,78.7,2015.0,1.0,2015.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Timor-Leste *,79.5,2010,58.3,2010.0,11.2,2010.0,1.0,2010.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Togo *,84.3,2015,63.7,2015.0,20.4,2015.0,0.9,2015.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Tokelau *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Tonga *,99.4,2011,99.4,2011.0,98.9,2011.0,1.0,2011.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Trinidad and Tobago *,99.3,1990,96.9,1990.0,82.8,1990.0,1.0,1990.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Tunisia *,96.2,2014,79.0,2014.0,39.8,2014.0,1.0,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Turkey *,99.6,2016,96.2,2016.0,88.1,2016.0,1.0,2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Turkmenistan *,99.8,2014,99.7,2014.0,97.6,2014.0,1.0,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Tuvalu *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Uganda *,83.7,2012,70.2,2012.0,36.1,2012.0,1.0,2012.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Ukraine *,100.0,2012,100.0,2012.0,100.0,2012.0,1.0,2012.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,United Arab Emirates *,95.0,2005,90.0,2005.0,42.1,2005.0,1.0,2005.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,United Kingdom *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,United States *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,U.S. Virgin Islands *,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Uruguay *,98.9,2017,98.6,2017.0,97.1,2016.0,1.0,2017.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Uzbekistan *,100.0,2016,100.0,2016.0,99.8,2016.0,1.0,2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Vanuatu *,95.3,2014,84.7,2014.0,44.2,2014.0,1.0,2014.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Venezuela *,98.8,2016,97.1,2016.0,88.1,2016.0,1.0,2016.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Vietnam *,97.1,2009,95.8,2019.0,76.9,2009.0,1.0,2009.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Wallis and Futuna,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Western Sahara,,,,,,,,,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Yemen *,77.0,2004,54.1,2004.0,13.7,2004.0,0.7,2004.0,,,,,,,,,,,,
,,,,,,List_of_countries_by_literacy_rate,1,,,,,,,,Zambia *,88.7,2010,83.0,2010.0,52.3,2010.0,0.9,2010.0,,,,,,,,,,,,
